date,CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
2026-09-01,663.0,790.0,880.0,610.2320830112292,749.0552788460094,974.9549453455433
2026-09-02,662.0,789.0,878.0,608.9591115126859,747.3943726441076,972.680503823024
2026-09-03,659.0,784.0,873.0,606.5793912297729,744.531599318667,968.1872477090016
2026-09-04,658.0,783.0,872.0,606.1678595079462,743.652469547191,967.407988542666
2026-09-05,659.0,784.0,874.0,606.3130100537076,744.1152016825124,968.1813380042418
2026-09-06,657.0,783.0,873.0,605.6289706827104,743.0210704534096,965.6617249277224
2026-09-07,657.0,783.0,873.0,605.6830684740135,743.0930216719403,965.4268337382146
2026-09-08,658.0,784.0,875.0,606.0675962396867,743.6356568117271,965.967032586192
2026-09-09,658.0,785.0,877.0,606.6849700736259,744.5294040502879,967.1274307433032
2026-09-10,659.0,787.0,879.0,607.6305133233208,745.891500599833,969.0605321363188
