时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-12,福建省,260.60,12.00,3089.60,6.60,117,2023-12-31 00:00:00,1,0,2024-07-02 19:06:25,0,2024-07-02 19:06:25,,,
2023-12,安徽省,306.60,13.20,3214.10,7.40,118,2023-12-31 00:00:00,1,0,2024-07-02 19:06:25,0,2024-07-02 19:06:25,,,
2023-12,浙江省,571.60,11.30,6192.40,6.80,119,2023-12-31 00:00:00,1,0,2024-07-02 19:06:25,0,2024-07-02 19:06:25,,,
2023-12,江苏省,732.10,10.70,7833.00,5.90,120,2023-12-31 00:00:00,1,0,2024-07-02 19:06:25,0,2024-07-02 19:06:25,,,
2023-12,上海市,168.20,2.40,1848.80,5.90,121,2023-12-31 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-12,黑龙江省,120.10,7.20,1183.60,3.90,122,2023-12-31 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-12,吉林省,96.60,12.40,928.20,8.90,123,2023-12-31 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-12,辽宁省,264.50,8.10,2662.90,4.40,124,2023-12-31 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-12,内蒙古区,453.20,13.70,4823.20,12.40,125,2023-12-31 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-12,山西省,283.10,7.60,2885.00,6.00,126,2023-12-31 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-12,河北省,480.30,14.30,4757.20,9.50,127,2023-12-31 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-12,天津市,105.30,9.70,1050.90,6.00,128,2023-12-31 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-12,北京市,149.30,8.90,1357.80,6.00,129,2023-12-31 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,全国,7630.00,11.60,83678.00,6.30,130,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,新疆区,340.50,18.70,3432.60,8.30,131,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,宁夏区,121.50,18.70,1261.90,11.20,132,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,青海省,88.70,10.80,925.00,10.20,133,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,甘肃省,148.50,14.00,1493.00,9.60,134,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,陕西省,210.90,6.30,2208.90,3.00,135,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,西藏区,13.70,21.10,120.20,13.30,136,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,云南省,217.60,14.50,2290.80,5.10,137,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,贵州省,150.70,5.20,1605.70,2.20,138,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,四川省,302.60,8.30,3385.50,7.30,139,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,重庆市,111.10,13.20,1325.00,3.30,140,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,海南省,38.30,11.60,443.60,16.30,141,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,广西区,196.40,13.30,2236.20,10.10,142,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,广东省,681.70,10.80,7807.00,7.60,143,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,湖南省,171.60,8.30,2069.40,1.80,144,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,湖北省,211.30,12.00,2461.50,1.80,145,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,河南省,318.50,15.80,3703.30,4.00,146,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,山东省,660.80,8.00,7233.70,5.30,147,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,江西省,162.60,7.20,1839.60,1.80,148,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,福建省,249.10,11.30,2828.90,6.10,149,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,安徽省,257.80,14.30,2907.50,6.80,150,2023-11-30 00:00:00,1,0,2024-07-02 19:06:29,0,2024-07-02 19:06:29,,,
2023-11,浙江省,497.00,10.60,5620.80,6.30,151,2023-11-30 00:00:00,1,0,2024-07-02 19:06:35,0,2024-07-02 19:06:35,,,
2023-11,江苏省,629.10,9.70,7100.90,5.40,152,2023-11-30 00:00:00,1,0,2024-07-02 19:06:35,0,2024-07-02 19:06:35,,,
2023-11,上海市,137.70,7.40,1680.60,6.30,153,2023-11-30 00:00:00,1,0,2024-07-02 19:06:35,0,2024-07-02 19:06:35,,,
2023-11,黑龙江省,107.60,6.70,1063.40,3.60,154,2023-11-30 00:00:00,1,0,2024-07-02 19:06:35,0,2024-07-02 19:06:35,,,
2023-11,吉林省,85.00,11.70,831.60,8.50,155,2023-11-30 00:00:00,1,0,2024-07-02 19:06:35,0,2024-07-02 19:06:35,,,
2023-11,辽宁省,233.70,6.10,2398.40,4.00,156,2023-11-30 00:00:00,1,0,2024-07-02 19:06:35,0,2024-07-02 19:06:35,,,
2023-11,内蒙古区,422.50,15.00,4370.00,12.30,157,2023-11-30 00:00:00,1,0,2024-07-02 19:06:35,0,2024-07-02 19:06:35,,,
2023-11,山西省,250.00,13.30,2601.80,5.90,158,2023-11-30 00:00:00,1,0,2024-07-02 19:06:35,0,2024-07-02 19:06:35,,,
2023-11,河北省,410.50,21.40,4276.90,9.00,159,2023-11-30 00:00:00,1,0,2024-07-02 19:06:35,0,2024-07-02 19:06:35,,,
2023-11,天津市,87.70,7.70,945.70,5.60,160,2023-11-30 00:00:00,1,0,2024-07-02 19:06:35,0,2024-07-02 19:06:35,,,
