时间,地区,当月值(万千瓦时),同比增长(%),累计值(万千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-02,福建省,,,9737.00,46.70,116,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,安徽省,,,374913.00,-3.20,117,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,浙江省,,,171748.00,-29.80,118,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,江苏省,,,126106.00,-6.60,119,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,上海市,,,8513.00,46.90,120,2024-02-29 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
2024-02,黑龙江省,,,86042.00,-20.30,121,2024-02-29 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2024-02,吉林省,,,58311.00,-6.90,122,2024-02-29 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2024-02,辽宁省,,,80363.00,6.70,123,2024-02-29 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2024-02,内蒙古区,,,301684.00,18.40,124,2024-02-29 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2024-02,山西省,,,255168.00,8.80,125,2024-02-29 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2024-02,河北省,,,339774.00,4.40,126,2024-02-29 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2024-02,天津市,,,44581.00,132.50,127,2024-02-29 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2024-02,北京市,,,2226.00,-5.90,128,2024-02-29 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,新疆区,137580.00,42.50,2010999.00,17.80,129,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,宁夏区,188332.00,26.00,2319270.00,21.80,130,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,青海省,169071.00,3.10,2120987.00,4.90,131,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,甘肃省,137421.00,25.70,1853628.00,28.00,132,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,陕西省,79126.00,-1.50,1108890.00,1.40,133,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,西藏区,7909.00,11.80,73094.00,-7.90,134,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,云南省,88022.00,192.40,898833.00,131.80,135,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
