date,永安_厂级_上网电量,永安_厂级_供热厂用电量,永安_厂级_供热用厂用电率,永安_厂级_利用小时,永安_厂级_发电厂用电率,永安_厂级_发电标煤量,永安_厂级_发电用厂用电量,永安_厂级_开机率,永安_厂级_日电网调度发电量,永安_厂级_综合供电煤耗,永安_厂级_综合厂用电率,永安_厂级_综合厂用电量,永安_厂级_耗煤量,永安_厂级_负荷率,永安_永安#8_上网电量,永安_永安#8_利用小时,永安_永安#8_发电厂用电率,永安_永安#8_发电标煤量,永安_永安#8_发电用厂用电量,永安_永安#8_开机率,永安_永安#8_综合供电煤耗,永安_永安#8_综合厂用电率,永安_永安#8_综合厂用电量,永安_永安#8_负荷率,永安_永安#8_运行小时,永安_永安#8_发电量
20220527.0,479.55,9.17,8.277705,8.766167,5.947107,1503.325621,31.28,50.0,514.0,313.486731,8.825598,46.42,3190.0,73.051389,479.545,17.532333,5.947545,1503.325621,31.2823,100.0,313.49,8.826549,46.425,73.051389,24.0,525.97
20220528.0,462.44,9.21,8.330801,8.479667,6.079248,1450.67428,30.93,50.0,511.5,313.7,9.108062,46.34,2846.0,70.663889,462.44,16.959333,6.079799,1450.67428,30.9328,100.0,313.7,9.108062,46.34,70.663889,24.0,508.78
20220529.0,455.35,8.16,8.246631,8.337,6.213266,1433.881405,31.08,50.0,504.0,314.896542,8.972052,44.88,2495.0,69.475,455.345,16.674,6.213826,1433.881405,31.0828,100.0,314.9,8.971053,44.875,69.475,24.0,500.22
20220530.0,455.62,8.34,8.221171,8.3245,6.200573,1436.79767,30.97,50.0,504.0,315.35,8.779306,43.85,2755.0,69.370833,455.62,16.649,6.199752,1436.79767,30.9659,100.0,315.35,8.779306,43.85,69.370833,24.0,499.47
20220531.0,458.15,8.5,8.263539,8.363333,6.147868,1442.393645,30.85,50.0,504.0,314.83,8.698685,43.65,2670.0,69.694444,458.15,16.726667,6.148226,1442.393645,30.8518,100.0,314.83,8.698685,43.65,69.694444,24.0,501.8
20220601.0,458.59,8.08,8.132274,8.3395,5.995563,1445.888411,30.0,50.0,504.0,315.29,8.349821,41.78,3002.0,69.495833,458.59,16.679,5.995104,1445.888411,29.9977,100.0,315.29,8.349821,41.78,69.495833,24.0,500.37
20220602.0,458.92,7.25,8.077256,8.319167,6.138435,1451.3345,30.64,50.0,504.0,316.25,8.059701,40.23,3082.0,69.326389,458.92,16.638333,6.139197,1451.3345,30.6438,100.0,316.25,8.059701,40.23,69.326389,24.0,499.15
20220603.0,442.09,5.74,8.41282,8.003833,6.296983,1411.328116,30.24,50.0,480.4,319.24,7.942028,38.14,2732.0,66.698611,442.09,16.007667,6.297066,1411.328116,30.2404,100.0,319.24,7.942028,38.14,66.698611,24.0,480.23
20220604.0,456.06,6.51,7.868429,8.254667,6.071313,1448.081712,30.07,50.0,495.9,317.52,7.918753,39.22,2763.0,68.788889,456.06,16.509333,6.071434,1448.081712,30.0706,100.0,317.52,7.918753,39.22,68.788889,24.0,495.28
20220605.0,463.32,7.67,7.889185,8.380833,5.9123,1464.55452,29.73,50.0,504.0,316.1,7.861191,39.53,2841.0,69.840278,463.32,16.761667,5.912837,1464.55452,29.7327,100.0,316.1,7.861191,39.53,69.840278,24.0,502.85
