时间,数据名称,本期(点),上期(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-20,波罗的海超灵便运价指数(BSI),1389.00,1374.00,15.00,1.09%,99,2024-06-20 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-20,波罗的海灵便型船指数(BHSI),744.00,734.00,10.00,1.36%,100,2024-06-20 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-19,波罗的海干散货指数(BDI),1943.00,1961.00,-18.00,-0.92%,101,2024-06-19 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-19,波罗的海海岬型指数(BCI),2927.00,2966.00,-39.00,-1.31%,102,2024-06-19 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-19,波罗的海巴拿马指数(BPI),1919.00,1954.00,-35.00,-1.79%,103,2024-06-19 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-19,波罗的海超灵便运价指数(BSI),1374.00,1362.00,12.00,0.88%,104,2024-06-19 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-19,波罗的海灵便型船指数(BHSI),734.00,725.00,9.00,1.24%,105,2024-06-19 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-18,波罗的海干散货指数(BDI),1961.00,1948.00,13.00,0.67%,106,2024-06-18 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-18,波罗的海海岬型指数(BCI),2966.00,2938.00,28.00,0.95%,107,2024-06-18 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-18,波罗的海巴拿马指数(BPI),1954.00,1960.00,-6.00,-0.31%,108,2024-06-18 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-18,波罗的海超灵便运价指数(BSI),1362.00,1346.00,16.00,1.19%,109,2024-06-18 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-18,波罗的海灵便型船指数(BHSI),725.00,716.00,9.00,1.26%,110,2024-06-18 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-17,波罗的海干散货指数(BDI),1948.00,1948.00,0.00,0.%,111,2024-06-17 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-17,波罗的海海岬型指数(BCI),2938.00,2957.00,-19.00,-0.64%,112,2024-06-17 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
