时间,地区,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03,云南省,51.80,60.00,145.90,61.20,104,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,贵州省,14.30,40.20,37.20,32.80,105,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,四川省,25.40,47.40,72.00,38.90,106,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,重庆市,4.00,43.00,8.60,17.50,107,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,海南省,0.40,52.80,1.20,-9.80,108,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,广西区,28.50,37.90,74.60,17.00,109,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,广东省,40.20,32.50,109.90,16.20,110,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,湖南省,21.40,17.30,51.70,3.50,111,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,湖北省,15.90,3.90,40.40,-0.50,112,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,河南省,38.90,10.00,99.70,3.20,113,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,山东省,62.60,18.10,160.50,22.00,114,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,江西省,12.20,15.90,29.40,-8.50,115,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,福建省,20.10,14.30,61.90,-6.90,116,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,安徽省,13.40,2.40,34.30,0.10,117,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,浙江省,12.20,62.70,36.90,47.40,118,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,江苏省,58.70,8.10,169.00,17.30,119,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,上海市,2.20,10.20,7.20,16.80,120,2024-03-31 00:00:00,1,0,2024-07-20 15:34:12,0,2024-07-20 15:34:12,,,
2024-03,黑龙江省,22.00,-5.90,63.80,6.10,121,2024-03-31 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-03,吉林省,25.90,-5.50,67.20,-4.50,122,2024-03-31 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-03,辽宁省,30.60,12.80,85.60,12.70,123,2024-03-31 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-03,内蒙古区,135.50,19.40,372.10,12.90,124,2024-03-31 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-03,山西省,51.00,6.60,134.80,-3.60,125,2024-03-31 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-03,河北省,67.30,8.90,170.80,-1.70,126,2024-03-31 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-03,天津市,3.40,23.20,7.40,5.40,127,2024-03-31 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-03,北京市,0.10,-21.70,0.50,2.50,128,2024-03-31 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,全国,,,1497.30,5.80,129,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,新疆区,,,97.50,30.60,130,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,宁夏区,,,36.50,-22.80,131,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,青海省,,,18.40,-2.70,132,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,甘肃省,,,53.70,-3.20,133,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,陕西省,,,24.80,-21.70,134,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,西藏区,,,,,135,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,云南省,,,88.90,56.70,136,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,贵州省,,,22.50,26.40,137,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,四川省,,,46.70,34.90,138,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,重庆市,,,4.60,4.50,139,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,海南省,,,0.80,-26.60,140,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,广西区,,,44.90,-10.10,141,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,广东省,,,69.40,8.60,142,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,湖南省,,,30.00,-5.60,143,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,湖北省,,,23.70,-3.20,144,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,河南省,,,60.80,-5.60,145,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,山东省,,,97.60,23.50,146,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,江西省,,,17.20,-20.40,147,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,福建省,,,39.80,-18.50,148,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,安徽省,,,20.90,-1.30,149,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,浙江省,,,23.20,32.60,150,2024-02-29 00:00:00,1,0,2024-07-20 15:34:14,0,2024-07-20 15:34:14,,,
2024-02,江苏省,,,110.30,22.40,151,2024-02-29 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
2024-02,上海市,,,4.90,20.00,152,2024-02-29 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
