时间,数据名称,价格类型,本期价格(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04-26,焦炭,收盘价,2357.50,1.44%,113,2024-04-26 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-26,焦炭,结算价,2343.00,0.6%,114,2024-04-26 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-25,焦炭,收盘价,2324.00,0.35%,115,2024-04-25 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-25,焦炭,结算价,2329.00,1.19%,116,2024-04-25 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-24,焦炭,收盘价,2316.00,2.34%,117,2024-04-24 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-24,焦炭,结算价,2301.50,0.41%,118,2024-04-24 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-23,焦炭,收盘价,2263.00,-1.48%,119,2024-04-23 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-23,焦炭,结算价,2292.00,-0.54%,120,2024-04-23 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-04-22,焦炭,收盘价,2297.00,-0.48%,121,2024-04-22 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-22,焦炭,结算价,2304.50,-0.41%,122,2024-04-22 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-19,焦炭,收盘价,2308.00,0.3%,123,2024-04-19 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-19,焦炭,结算价,2314.00,0.63%,124,2024-04-19 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-18,焦炭,收盘价,2301.00,0.57%,125,2024-04-18 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-18,焦炭,结算价,2299.50,1.95%,126,2024-04-18 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-17,焦炭,收盘价,2288.00,2.37%,127,2024-04-17 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-17,焦炭,结算价,2255.50,0.42%,128,2024-04-17 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-16,焦炭,收盘价,2235.00,-1.04%,129,2024-04-16 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-16,焦炭,结算价,2246.00,0.45%,130,2024-04-16 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-15,焦炭,收盘价,2258.50,4.37%,131,2024-04-15 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-15,焦炭,结算价,2236.00,5.22%,132,2024-04-15 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-12,焦炭,收盘价,2164.00,4.26%,133,2024-04-12 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-12,焦炭,结算价,2125.00,4.01%,134,2024-04-12 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-11,焦炭,收盘价,2075.50,3.16%,135,2024-04-11 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-11,焦炭,结算价,2043.00,1.39%,136,2024-04-11 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-10,焦炭,收盘价,2012.00,0.3%,137,2024-04-10 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-10,焦炭,结算价,2015.00,1.77%,138,2024-04-10 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-09,焦炭,收盘价,2006.00,0.88%,139,2024-04-09 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-09,焦炭,结算价,1980.00,1.18%,140,2024-04-09 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-08,焦炭,收盘价,1988.50,1.43%,141,2024-04-08 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-08,焦炭,结算价,1957.00,-1.93%,142,2024-04-08 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-03,焦炭,收盘价,1960.50,-0.41%,143,2024-04-03 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-03,焦炭,结算价,1995.50,1.22%,144,2024-04-03 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-02,焦炭,收盘价,1968.50,-0.56%,145,2024-04-02 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-02,焦炭,结算价,1971.50,0.54%,146,2024-04-02 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
