时间,项目名称,期末值(亿元),同比增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-10,货币和准货币(M2)供应量,2149700.00,10.50,135,2020-10-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-09,货币(M1)供应量,602300.00,8.10,136,2020-09-30 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-09,流通中现金(M0)供应量,82400.00,11.10,137,2020-09-30 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-09,货币和准货币(M2)供应量,2164100.00,10.90,138,2020-09-30 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-08,货币(M1)供应量,601300.00,8.00,139,2020-08-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-08,流通中现金(M0)供应量,80000.00,9.40,140,2020-08-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-08,货币和准货币(M2)供应量,2136800.00,10.40,141,2020-08-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-07,货币(M1)供应量,591200.00,6.90,142,2020-07-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-07,流通中现金(M0)供应量,79900.00,9.90,143,2020-07-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-07,货币和准货币(M2)供应量,2125500.00,10.70,144,2020-07-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-06,货币(M1)供应量,604300.00,6.50,145,2020-06-30 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-06,流通中现金(M0)供应量,79500.00,9.50,146,2020-06-30 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-06,货币和准货币(M2)供应量,2134900.00,11.10,147,2020-06-30 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-05,货币(M1)供应量,581100.00,6.80,148,2020-05-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-05,流通中现金(M0)供应量,79700.00,9.50,149,2020-05-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-05,货币和准货币(M2)供应量,2100200.00,11.10,150,2020-05-31 00:00:00,1,0,2024-07-21 05:01:37,0,2024-07-21 05:01:37,,,
2020-04,流通中现金(M0)供应量,81500.00,10.20,151,2020-04-30 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-04,货币(M1)供应量,570200.00,5.50,152,2020-04-30 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-04,货币和准货币(M2)供应量,2093500.00,11.10,153,2020-04-30 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-03,流通中现金(M0)供应量,83000.00,10.80,154,2020-03-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-03,货币(M1)供应量,575100.00,5.00,155,2020-03-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-03,货币和准货币(M2)供应量,2080900.00,10.10,156,2020-03-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-02,流通中现金(M0)供应量,88200.00,10.90,157,2020-02-29 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-02,货币(M1)供应量,552700.00,4.80,158,2020-02-29 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-02,货币和准货币(M2)供应量,2030800.00,8.80,159,2020-02-29 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-01,流通中现金(M0)供应量,93200.00,6.60,160,2020-01-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-01,货币(M1)供应量,545500.00,0.00,161,2020-01-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2020-01,货币和准货币(M2)供应量,2023100.00,8.40,162,2020-01-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-12,流通中现金(M0)供应量,77200.00,5.40,163,2019-12-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-12,货币(M1)供应量,576000.00,4.40,164,2019-12-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
