时间,国别(地区),当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-09,伊拉克,25.00,175.00,6.40,58.20,161,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,以色列,420.00,2100.00,148.50,758.70,162,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,印度,39840.00,39916.00,10358.40,10379.90,163,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-09,印尼,77426.20,1417209.90,15370.70,395781.90,164,2023-09-30 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-08,阿根廷,26.60,142.60,8.60,69.90,165,2023-08-31 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-08,阿曼,52.00,656.50,28.80,368.80,166,2023-08-31 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-08,比利时,33000.00,44048.00,6421.40,9449.80,167,2023-08-31 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-08,多米尼加,36.80,39.00,10.60,11.60,168,2023-08-31 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-08,菲律宾,40.00,151.40,15.40,54.30,169,2023-08-31 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-08,韩国,29760.20,192108.90,5250.60,43827.20,170,2023-08-31 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
2023-08,马来西亚,18291.60,80625.50,3460.40,20125.40,171,2023-08-31 00:00:00,1,0,2024-07-20 14:49:14,0,2024-07-20 14:49:14,,,
