时间,项目名称,当期值,累计值,累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2018-11,出口数量(万吨),68.90,462.30,-37.40,133,2018-11-30 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-11,出口金额(千美元),110200.00,733800.00,-26.10,134,2018-11-30 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-10,出口数量(万吨),48.30,393.50,-40.70,135,2018-10-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-10,出口金额(千美元),68000.00,623600.00,-30.90,136,2018-10-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-09,出口数量(万吨),17.70,345.20,-47.00,137,2018-09-30 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-09,出口金额(千美元),34800.00,555600.00,-36.80,138,2018-09-30 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-08,出口数量(万吨),48.60,327.50,-43.80,139,2018-08-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-08,出口金额(千美元),70300.00,520800.00,-34.90,140,2018-08-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-07,出口数量(万吨),42.50,278.90,-51.60,141,2018-07-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-07,出口金额(千美元),60300.00,450500.00,-42.80,142,2018-07-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-06,出口数量(万吨),35.30,236.50,-55.30,143,2018-06-30 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-06,出口金额(千美元),69600.00,390200.00,-46.30,144,2018-06-30 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-05,出口数量(万吨),53.30,201.20,-55.90,145,2018-05-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-05,出口金额(千美元),74400.00,325.90,-44.20,146,2018-05-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-04,出口数量(万吨),51.10,147.90,-54.50,147,2018-04-30 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-04,出口金额(千美元),81300.00,246300.00,-30.50,148,2018-04-30 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
