时间,港口名称,规格品,本期价格(元/吨),上期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-19,曹妃甸港,5000K,645 - 655,645 - 655,0.00,0.00,116,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,曹妃甸港,4500K,580 - 590,580 - 590,0.00,0.00,117,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,国投京唐港,5800K,750 - 760,750 - 760,0.00,0.00,118,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,国投京唐港,5500K,715 - 725,715 - 725,0.00,0.00,119,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,国投京唐港,5000K,645 - 655,645 - 655,0.00,0.00,120,2024-06-19 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-19,国投京唐港,4500K,580 - 590,580 - 590,0.00,0.00,121,2024-06-19 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-19,京唐港,5800K,750 - 760,750 - 760,0.00,0.00,122,2024-06-19 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-19,京唐港,5500K,715 - 725,715 - 725,0.00,0.00,123,2024-06-19 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-19,京唐港,5000K,645 - 655,645 - 655,0.00,0.00,124,2024-06-19 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-19,京唐港,4500K,580 - 590,580 - 590,0.00,0.00,125,2024-06-19 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,环渤海,5500K,718,718,0.00,0.00,126,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,秦皇岛港,5800K,750 - 760,750 - 760,0.00,0.00,127,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,秦皇岛港,5500K,715 - 725,715 - 725,0.00,0.00,128,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,秦皇岛港,5000K,645 - 655,645 - 655,0.00,0.00,129,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,秦皇岛港,4500K,580 - 590,580 - 590,0.00,0.00,130,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,黄骅港,5800K,750 - 760,750 - 760,0.00,0.00,131,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,黄骅港,5500K,715 - 725,715 - 725,0.00,0.00,132,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
