时间,地区,当月值(万重量箱),同比增长(%),累计值(万重量箱),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03,内蒙古区,87.61,,267.23,,116,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,山西省,220.20,,601.37,,117,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,河北省,1244.37,,3652.64,,118,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,天津市,232.75,,699.39,,119,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-03,北京市,4.98,,13.69,,120,2024-03-31 00:00:00,1,0,2024-07-21 04:09:09,0,2024-07-21 04:09:09,,,
2024-02,全国,,,16193.80,7.70,121,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,新疆区,,,157.28,,122,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,宁夏区,,,70.10,,123,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,青海省,,,0.00,,124,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,甘肃省,,,103.85,,125,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,陕西省,,,267.04,,126,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,云南省,,,170.64,,127,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,贵州省,,,272.22,,128,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,四川省,,,1092.98,,129,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,重庆市,,,327.70,,130,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,海南省,,,188.95,,131,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,广西区,,,542.34,,132,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,广东省,,,1638.12,,133,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,湖南省,,,687.58,,134,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,湖北省,,,1664.33,,135,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,河南省,,,274.34,,136,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,山东省,,,1622.29,,137,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,江西省,,,65.72,,138,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,福建省,,,870.72,,139,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,安徽省,,,724.43,,140,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,浙江省,,,697.39,,141,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,江苏省,,,204.77,,142,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,黑龙江省,,,75.97,,143,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,吉林省,,,191.72,,144,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,辽宁省,,,833.15,,145,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
