时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-24,印度西海岸,动力煤2#,,5000(GAR),86.25,0.00,CFR,101,2024-05-24 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-24,印度西海岸,动力煤1#,,5500(NAR),110.85,-0.45,CFR,102,2024-05-24 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-23,印度西海岸,动力煤3#,,4200(GAR),69.35,-0.25,CFR,103,2024-05-23 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-23,印度西海岸,动力煤2#,,5000(GAR),86.25,-0.55,CFR,104,2024-05-23 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-23,印度西海岸,动力煤1#,,5500(NAR),111.30,-0.20,CFR,105,2024-05-23 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-21,印度西海岸,动力煤3#,,4200(GAR),69.60,-0.30,CFR,106,2024-05-21 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-21,印度西海岸,动力煤2#,,5000(GAR),86.80,0.05,CFR,107,2024-05-21 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-21,印度西海岸,动力煤1#,,5500(NAR),111.50,0.45,CFR,108,2024-05-21 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-20,印度西海岸,动力煤3#,,4200(GAR),69.90,-0.25,CFR,109,2024-05-20 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-20,印度西海岸,动力煤2#,,5000(GAR),86.75,-0.20,CFR,110,2024-05-20 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-20,印度西海岸,动力煤1#,,5500(NAR),111.05,0.60,CFR,111,2024-05-20 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-17,印度西海岸,动力煤3#,,4200(GAR),70.15,0.10,CFR,112,2024-05-17 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-17,印度西海岸,动力煤2#,,5000(GAR),86.95,-0.10,CFR,113,2024-05-17 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-17,印度西海岸,动力煤1#,,5500(NAR),110.45,-0.05,CFR,114,2024-05-17 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-16,印度西海岸,动力煤3#,,4200(GAR),70.05,0.25,CFR,115,2024-05-16 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-16,印度西海岸,动力煤2#,,5000(GAR),87.05,0.30,CFR,116,2024-05-16 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-16,印度西海岸,动力煤1#,,5500(NAR),110.50,1.00,CFR,117,2024-05-16 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-15,印度西海岸,动力煤3#,,4200(GAR),69.80,-0.05,CFR,118,2024-05-15 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-15,印度西海岸,动力煤2#,,5000(GAR),86.75,0.30,CFR,119,2024-05-15 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-15,印度西海岸,动力煤1#,,5500(NAR),109.50,-0.25,CFR,120,2024-05-15 00:00:00,1,0,2024-07-17 13:41:39,0,2024-07-17 13:41:39,,,
2024-05-14,印度西海岸,动力煤3#,,4200(GAR),69.85,0.15,CFR,121,2024-05-14 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
