时间,钢材类型,库存量(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-11-24,冷轧,108.80,174,2023-11-24 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-11-24,线材,50.72,175,2023-11-24 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-11-17,中厚板,124.98,176,2023-11-17 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-11-17,线材,52.94,177,2023-11-17 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-11-17,螺纹钢,368.88,178,2023-11-17 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-11-17,冷轧,110.11,179,2023-11-17 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-11-17,热卷,265.06,180,2023-11-17 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-11-10,中厚板,129.86,181,2023-11-10 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-11-10,冷轧,109.85,182,2023-11-10 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-11-10,螺纹钢,380.60,183,2023-11-10 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-11-10,线材,56.09,184,2023-11-10 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-11-10,热卷,271.10,185,2023-11-10 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-11-03,冷轧,111.76,186,2023-11-03 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-11-03,中厚板,132.81,187,2023-11-03 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-11-03,螺纹钢,401.63,188,2023-11-03 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-11-03,线材,58.61,189,2023-11-03 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-11-03,热卷,281.78,190,2023-11-03 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-27,中厚板,134.41,191,2023-10-27 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-27,线材,61.41,192,2023-10-27 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-27,冷轧,111.12,193,2023-10-27 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-27,螺纹钢,427.09,194,2023-10-27 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-27,热卷,290.20,195,2023-10-27 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-20,中厚板,136.85,196,2023-10-20 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-20,线材,66.63,197,2023-10-20 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-20,冷轧,113.18,198,2023-10-20 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-20,热卷,299.65,199,2023-10-20 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-20,螺纹钢,457.66,200,2023-10-20 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-13,中厚板,137.37,201,2023-10-13 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-13,热卷,305.61,202,2023-10-13 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-13,螺纹钢,483.54,203,2023-10-13 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-13,线材,73.06,204,2023-10-13 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
2023-10-13,冷轧,113.96,205,2023-10-13 00:00:00,1,0,2024-07-20 23:50:16,0,2024-07-20 23:50:16,,,
