时间,数据项目,本期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-12-22,长江口5500K平仓价格指数,986.60,-1.60,-0.16,114,2023-12-22 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-22,北方港5000K平仓价格指数,843.60,2.60,0.31,115,2023-12-22 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-22,北方港5500K平仓价格指数,954.80,2.00,0.21,116,2023-12-22 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-15,长江口5000K平仓价格指数,872.00,10.00,1.16,117,2023-12-15 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-15,长江口5500K平仓价格指数,988.20,7.40,0.75,118,2023-12-15 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-15,北方港5000K平仓价格指数,841.00,21.00,2.56,119,2023-12-15 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-15,北方港5500K平仓价格指数,952.80,19.60,2.10,120,2023-12-15 00:00:00,1,0,2024-07-20 06:28:06,0,2024-07-20 06:28:06,,,
2023-12-08,长江口5000K平仓价格指数,862.00,0.00,0.00,121,2023-12-08 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-12-08,长江口5500K平仓价格指数,980.80,0.00,0.00,122,2023-12-08 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-12-08,北方港5000K平仓价格指数,820.00,3.80,0.47,123,2023-12-08 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-12-08,北方港5500K平仓价格指数,933.20,2.20,0.24,124,2023-12-08 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-12-01,长江口5000K平仓价格指数,862.00,5.60,0.65,125,2023-12-01 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-12-01,长江口5500K平仓价格指数,980.80,-0.40,-0.04,126,2023-12-01 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-12-01,北方港5000K平仓价格指数,816.20,-1.00,-0.12,127,2023-12-01 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-12-01,北方港5500K平仓价格指数,931.00,-1.60,-0.17,128,2023-12-01 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-24,长江口5000K平仓价格指数,856.40,0.20,0.02,129,2023-11-24 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-24,长江口5500K平仓价格指数,981.20,-7.40,-0.75,130,2023-11-24 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-24,北方港5000K平仓价格指数,817.20,-17.00,-2.04,131,2023-11-24 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-24,北方港5500K平仓价格指数,932.60,-17.20,-1.81,132,2023-11-24 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-17,长江口5000K平仓价格指数,856.20,16.00,1.90,133,2023-11-17 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-17,长江口5500K平仓价格指数,988.60,6.80,0.69,134,2023-11-17 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-17,北方港5000K平仓价格指数,834.20,15.40,1.88,135,2023-11-17 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-17,北方港5500K平仓价格指数,949.80,5.20,0.55,136,2023-11-17 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-10,长江口5000K平仓价格指数,840.20,-7.20,-0.85,137,2023-11-10 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-10,长江口5500K平仓价格指数,981.80,-7.80,-0.79,138,2023-11-10 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-10,北方港5000K平仓价格指数,818.80,-13.00,-1.56,139,2023-11-10 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-10,北方港5500K平仓价格指数,944.60,-11.20,-1.17,140,2023-11-10 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-03,长江口5000K平仓价格指数,847.40,-50.20,-5.59,141,2023-11-03 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-03,长江口5500K平仓价格指数,989.60,-34.40,-3.36,142,2023-11-03 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-03,北方港5000K平仓价格指数,831.80,-53.80,-6.07,143,2023-11-03 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-11-03,北方港5500K平仓价格指数,955.80,-42.60,-4.27,144,2023-11-03 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-10-27,长江口5000K平仓价格指数,897.60,-19.40,-2.12,145,2023-10-27 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-10-27,长江口5500K平仓价格指数,1024.00,-12.60,-1.22,146,2023-10-27 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-10-27,北方港5000K平仓价格指数,885.60,-21.40,-2.36,147,2023-10-27 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-10-27,北方港5500K平仓价格指数,998.40,-18.40,-1.81,148,2023-10-27 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-10-20,长江口5000K平仓价格指数,917.00,-23.60,-2.51,149,2023-10-20 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-10-20,长江口5500K平仓价格指数,1036.60,-24.00,-2.26,150,2023-10-20 00:00:00,1,0,2024-07-20 06:28:09,0,2024-07-20 06:28:09,,,
2023-10-20,北方港5000K平仓价格指数,907.00,-16.40,-1.78,151,2023-10-20 00:00:00,1,0,2024-07-20 06:28:13,0,2024-07-20 06:28:13,,,
2023-10-20,北方港5500K平仓价格指数,1016.80,-19.00,-1.83,152,2023-10-20 00:00:00,1,0,2024-07-20 06:28:13,0,2024-07-20 06:28:13,,,
2023-10-13,长江口5000K平仓价格指数,940.60,45.80,5.12,153,2023-10-13 00:00:00,1,0,2024-07-20 06:28:13,0,2024-07-20 06:28:13,,,
2023-10-13,长江口5500K平仓价格指数,1060.60,55.00,5.47,154,2023-10-13 00:00:00,1,0,2024-07-20 06:28:13,0,2024-07-20 06:28:13,,,
2023-10-13,北方港5000K平仓价格指数,923.40,50.00,5.72,155,2023-10-13 00:00:00,1,0,2024-07-20 06:28:13,0,2024-07-20 06:28:13,,,
2023-10-13,北方港5500K平仓价格指数,1035.80,57.00,5.82,156,2023-10-13 00:00:00,1,0,2024-07-20 06:28:13,0,2024-07-20 06:28:13,,,
2023-09-22,长江口5000K平仓价格指数,894.80,80.20,9.85,157,2023-09-22 00:00:00,1,0,2024-07-20 06:28:13,0,2024-07-20 06:28:13,,,
2023-09-22,长江口5500K平仓价格指数,1005.60,78.00,8.41,158,2023-09-22 00:00:00,1,0,2024-07-20 06:28:13,0,2024-07-20 06:28:13,,,
