时间,项目名称,累计值(万千瓦),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-12,发电设备容量,237692.00,7.90,134,2021-12-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-12,水电发电设备容量,39092.00,5.60,135,2021-12-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-12,核电发电设备容量,5326.00,6.80,136,2021-12-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-12,风电发电设备容量,32848.00,16.60,137,2021-12-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-11,核电发电设备容量,5326.00,6.80,138,2021-11-30 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-11,风电发电设备容量,30486.00,29.00,139,2021-11-30 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-11,发电设备容量,232100.00,9.00,140,2021-11-30 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-11,水电发电设备容量,38798.00,5.50,141,2021-11-30 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-11,火电发电设备容量,128681.00,3.50,142,2021-11-30 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-10,核电发电设备容量,5326.00,6.80,143,2021-10-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-10,风电发电设备容量,29963.00,30.40,144,2021-10-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-10,发电设备容量,230304.00,9.00,145,2021-10-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-10,火电发电设备容量,128289.00,3.60,146,2021-10-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-10,水电发电设备容量,38452.00,5.10,147,2021-10-31 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-09,核电发电设备容量,5326.00,6.80,148,2021-09-30 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-09,风电发电设备容量,29727.00,32.80,149,2021-09-30 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-09,水电发电设备容量,38353.00,5.00,150,2021-09-30 00:00:00,1,0,2024-07-20 16:02:19,0,2024-07-20 16:02:19,,,
2021-09,水电发电设备容量,38353.00,5.00,151,2021-09-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-09,火电发电设备容量,128183.00,3.90,152,2021-09-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-08,核电发电设备容量,5326.00,9.20,153,2021-08-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-08,发电设备容量,228254.00,9.50,154,2021-08-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-08,风电发电设备容量,29532.00,33.80,155,2021-08-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-08,水电发电设备容量,38213.00,4.90,156,2021-08-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-08,火电发电设备容量,127611.00,3.80,157,2021-08-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-07,风电发电设备容量,29310.00,34.40,158,2021-07-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-07,发电设备容量,227206.00,9.40,159,2021-07-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-07,核电发电设备容量,5326.00,9.20,160,2021-07-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-07,水电发电设备容量,38143.00,4.90,161,2021-07-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-07,火电发电设备容量,127263.00,3.70,162,2021-07-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-06,风电发电设备容量,29192.00,34.70,163,2021-06-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-06,发电设备容量,225660.00,9.50,164,2021-06-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-06,核电发电设备容量,5216.00,6.90,165,2021-06-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-06,水电发电设备容量,37785.00,4.70,166,2021-06-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-06,火电发电设备容量,126658.00,4.10,167,2021-06-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-05,核电发电设备容量,5104.00,4.70,168,2021-05-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-05,发电设备容量,224132.00,9.50,169,2021-05-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-05,风电发电设备容量,28852.00,34.40,170,2021-05-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-05,水电发电设备容量,37382.00,4.20,171,2021-05-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-05,火电发电设备容量,126389.00,4.10,172,2021-05-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-04,核电发电设备容量,5104.00,4.70,173,2021-04-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-04,水电发电设备容量,37330.00,4.20,174,2021-04-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-04,火电发电设备容量,126161.00,4.20,175,2021-04-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-04,风电发电设备容量,28744.00,34.60,176,2021-04-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-04,发电设备容量,223483.00,9.50,177,2021-04-30 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-03,核电发电设备容量,5104.00,4.70,178,2021-03-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-03,风电发电设备容量,28661.00,34.90,179,2021-03-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-03,水电发电设备容量,37132.00,3.70,180,2021-03-31 00:00:00,1,0,2024-07-20 16:02:21,0,2024-07-20 16:02:21,,,
2021-03,发电设备容量,222850.00,9.40,181,2021-03-31 00:00:00,1,0,2024-07-20 16:02:25,0,2024-07-20 16:02:25,,,
2021-03,核电发电设备容量,5104.00,4.70,182,2021-03-31 00:00:00,1,0,2024-07-20 16:02:25,0,2024-07-20 16:02:25,,,
2021-02,风电发电设备容量,28456.00,34.30,183,2021-02-28 00:00:00,1,0,2024-07-20 16:02:25,0,2024-07-20 16:02:25,,,
2021-02,水电发电设备容量,37026.00,3.50,184,2021-02-28 00:00:00,1,0,2024-07-20 16:02:25,0,2024-07-20 16:02:25,,,
2021-02,火电发电设备容量,125602.00,4.00,185,2021-02-28 00:00:00,1,0,2024-07-20 16:02:25,0,2024-07-20 16:02:25,,,
