时间,煤炭产地,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-11-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,3500.00,出厂价,66,2021-11-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-10-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2210.00,出厂价,67,2021-10-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-10-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,3160.00,出厂价,68,2021-10-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-09-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1610.00,出厂价,69,2021-09-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-09-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1900.00,出厂价,70,2021-09-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-08-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1500.00,出厂价,71,2021-08-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-08-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1610.00,出厂价,72,2021-08-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-07-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1500.00,出厂价,73,2021-07-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-07-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1610.00,出厂价,74,2021-07-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-06-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1500.00,出厂价,75,2021-06-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-06-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1610.00,出厂价,76,2021-06-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-05-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1350.00,出厂价,77,2021-05-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-05-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1550.00,出厂价,78,2021-05-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-04-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1320.00,出厂价,79,2021-04-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-04-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1550.00,出厂价,80,2021-04-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-03-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1370.00,出厂价,81,2021-03-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-03-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1650.00,出厂价,82,2021-03-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-02-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1650.00,出厂价,83,2021-02-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-02-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1370.00,出厂价,84,2021-02-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-01-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1310.00,出厂价,85,2021-01-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2021-01-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1540.00,出厂价,86,2021-01-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2020-12-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1260.00,出厂价,87,2020-12-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2020-12-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1490.00,出厂价,88,2020-12-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2020-11-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1130.00,出厂价,89,2020-11-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2020-11-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1320.00,出厂价,90,2020-11-01 00:00:00,1,0,2024-07-17 09:15:04,0,2024-07-17 09:15:04,,,
2024-09-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1650.00,出厂价,111,2024-09-01 00:00:00,1,0,2024-11-07 00:15:09,0,2024-11-07 00:15:09,,,
2024-09-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1380.00,出厂价,112,2024-09-01 00:00:00,1,0,2024-11-07 00:15:09,0,2024-11-07 00:15:09,,,
2024-08-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1790.00,出厂价,113,2024-08-01 00:00:00,1,0,2024-11-07 00:15:09,0,2024-11-07 00:15:09,,,
2024-08-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1640.00,出厂价,114,2024-08-01 00:00:00,1,0,2024-11-07 00:15:09,0,2024-11-07 00:15:09,,,
2024-11-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1380.00,出厂价,115,2024-11-01 00:00:00,1,0,2024-11-12 23:11:43,0,2024-11-12 23:11:43,,,
2024-11-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1650.00,出厂价,116,2024-11-01 00:00:00,1,0,2024-11-12 23:11:43,0,2024-11-12 23:11:43,,,
2024-10-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1380.00,出厂价,117,2024-10-01 00:00:00,1,0,2024-11-12 23:11:43,0,2024-11-12 23:11:43,,,
2024-10-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1650.00,出厂价,118,2024-10-01 00:00:00,1,0,2024-11-12 23:11:43,0,2024-11-12 23:11:43,,,
2024-12-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1650.00,出厂价,119,2024-12-01 00:00:00,1,0,2024-12-16 23:11:42,0,2024-12-16 23:11:42,,,
2024-12-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1380.00,出厂价,120,2024-12-01 00:00:00,1,0,2024-12-16 23:11:42,0,2024-12-16 23:11:42,,,
2025-04-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1170.00,出厂价,121,2025-04-01 00:00:00,1,0,2025-05-07 23:11:42,0,2025-05-07 23:11:42,,,
2025-04-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1320.00,出厂价,122,2025-04-01 00:00:00,1,0,2025-05-07 23:11:42,0,2025-05-07 23:11:42,,,
2025-03-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1320.00,出厂价,123,2025-03-01 00:00:00,1,0,2025-05-07 23:11:42,0,2025-05-07 23:11:42,,,
2025-03-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1170.00,出厂价,124,2025-03-01 00:00:00,1,0,2025-05-07 23:11:42,0,2025-05-07 23:11:42,,,
2025-02-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1270.00,出厂价,125,2025-02-01 00:00:00,1,0,2025-05-07 23:11:42,0,2025-05-07 23:11:42,,,
2025-02-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1480.00,出厂价,126,2025-02-01 00:00:00,1,0,2025-05-07 23:11:42,0,2025-05-07 23:11:42,,,
2025-01-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1380.00,出厂价,127,2025-01-01 00:00:00,1,0,2025-05-07 23:11:42,0,2025-05-07 23:11:42,,,
2025-01-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1650.00,出厂价,128,2025-01-01 00:00:00,1,0,2025-05-07 23:11:42,0,2025-05-07 23:11:42,,,
2025-06-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1120.00,出厂价,129,2025-06-01 00:00:00,1,0,2025-06-09 23:11:39,0,2025-06-09 23:11:39,,,
2025-06-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1270.00,出厂价,130,2025-06-01 00:00:00,1,0,2025-06-09 23:11:39,0,2025-06-09 23:11:39,,,
2025-05-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1120.00,出厂价,131,2025-05-01 00:00:00,1,0,2025-06-09 23:11:39,0,2025-06-09 23:11:39,,,
2025-05-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1270.00,出厂价,132,2025-05-01 00:00:00,1,0,2025-06-09 23:11:39,0,2025-06-09 23:11:39,,,
2025-07-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1270.00,出厂价,133,2025-07-01 00:00:00,1,0,2025-07-07 23:11:18,0,2025-07-07 23:11:18,,,
2025-07-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1120.00,出厂价,134,2025-07-01 00:00:00,1,0,2025-07-07 23:11:18,0,2025-07-07 23:11:18,,,
