时间,地区,当月值(万吨),累计值(万吨),同比增长(%),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-02,黑龙江省,,485.90,,2.40,149,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,上海市,,10.10,,11.40,150,2024-02-29 00:00:00,1,0,2024-07-21 02:16:40,0,2024-07-21 02:16:40,,,
2024-02,江苏省,,27.20,,6.70,151,2024-02-29 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2024-02,浙江省,,,,,152,2024-02-29 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2024-02,安徽省,,,,,153,2024-02-29 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2024-02,福建省,,,,,154,2024-02-29 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2024-02,江西省,,,,,155,2024-02-29 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2024-02,山东省,,364.10,,2.70,156,2024-02-29 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2024-02,河南省,,38.90,,2.00,157,2024-02-29 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2024-02,湖北省,,8.80,,1.50,158,2024-02-29 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2024-02,湖南省,,,,,159,2024-02-29 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2024-02,海南省,,9.60,,9.00,160,2024-02-29 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,湖北省,4.60,53.60,-0.20,-0.20,161,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,云南省,0.00,0.00,0.00,0.00,162,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,广东省,197.00,1998.10,29.30,6.00,163,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,安徽省,0.00,0.00,0.00,0.00,164,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,福建省,0.00,0.00,0.00,0.00,165,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,江西省,0.00,0.00,0.00,0.00,166,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,山东省,187.30,2214.10,0.40,0.60,167,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,河南省,20.00,235.30,-1.10,-0.40,168,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,辽宁省,80.10,982.00,-7.90,1.20,169,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,吉林省,30.00,397.90,2.70,-5.30,170,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,黑龙江省,254.00,2971.00,1.10,0.00,171,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,上海市,5.00,49.30,28.50,-7.90,172,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,江苏省,12.70,157.00,-2.00,2.70,173,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,浙江省,0.00,0.00,0.00,0.00,174,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,全国,1764.70,20891.50,4.60,2.00,175,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,北京市,0.00,0.00,0.00,0.00,176,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,天津市,316.10,3769.10,8.90,5.40,177,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,河北省,38.10,471.00,3.30,-2.30,178,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
2023-12,山西省,0.00,0.00,0.00,0.00,179,2023-12-31 00:00:00,1,0,2024-07-21 02:16:44,0,2024-07-21 02:16:44,,,
