时间,项目名称,累计值(万平方米),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2017-10,房地产业土地购置面积,19047.81,12.90,116,2017-10-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2017-09,房地产业土地购置面积,16733.09,12.20,117,2017-09-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2017-09,房地产业土地成交价款,8148.81,46.30,118,2017-09-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2017-08,房地产业土地购置面积,14229.24,10.10,119,2017-08-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2017-08,房地产业土地成交价款,6609.41,42.70,120,2017-08-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2017-07,房地产业土地购置面积,12409.60,11.10,121,2017-07-31 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-07,房地产业土地成交价款,5427.69,41.00,122,2017-07-31 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-06,房地产业土地购置面积,10340.52,8.80,123,2017-06-30 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-06,房地产业土地成交价款,4376.11,38.50,124,2017-06-30 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-05,房地产业土地购置面积,7580.04,5.30,125,2017-05-31 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-05,房地产业土地成交价款,3035.59,32.30,126,2017-05-31 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-04,房地产业土地购置面积,5527.58,8.10,127,2017-04-30 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-04,房地产业土地成交价款,2104.50,34.20,128,2017-04-30 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-03,房地产业土地购置面积,3782.04,5.70,129,2017-03-31 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-03,房地产业土地成交价款,1358.62,16.70,130,2017-03-31 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-02,房地产业土地购置面积,2373.74,6.20,131,2017-02-28 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
2017-02,房地产业土地成交价款,794.29,12.70,132,2017-02-28 00:00:00,1,0,2024-07-21 04:36:02,0,2024-07-21 04:36:02,,,
