时间,港口,月末库存(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2018-02,黄骅港,,185,2018-02-28 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-02,北方七港,,186,2018-02-28 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-02,秦皇岛港,,187,2018-02-28 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-02,天津港,,188,2018-02-28 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-02,全国主要港口,,189,2018-02-28 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-02,港口外贸,,190,2018-02-28 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-01,黄骅港,,191,2018-01-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-01,天津港,,192,2018-01-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-01,港口外贸,,193,2018-01-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-01,秦皇岛港,,194,2018-01-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-01,全国主要港口,,195,2018-01-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2018-01,北方七港,,196,2018-01-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-12,秦皇岛港,653.00,197,2017-12-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-12,北方七港,2152.00,198,2017-12-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-12,天津港,158.00,199,2017-12-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-12,全国主要港口,3459.00,200,2017-12-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-12,港口外贸,649.00,201,2017-12-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-12,黄骅港,282.00,202,2017-12-31 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-11,港口外贸,782.00,203,2017-11-30 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-11,黄骅港,220.00,204,2017-11-30 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-11,北方七港,2228.00,205,2017-11-30 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-11,全国主要港口,3788.00,206,2017-11-30 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
2017-11,秦皇岛港,676.00,207,2017-11-30 00:00:00,1,0,2024-07-20 11:29:00,0,2024-07-20 11:29:00,,,
