时间,交易品种,成交量(吨),成交额（元）,收盘价(元/吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-09-22,BEA,15846.00,1983437.60,125.17,81,2023-09-22 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-21,BEA,13594.00,1739108.00,127.93,82,2023-09-21 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-20,BEA,3075.00,381825.00,124.17,83,2023-09-20 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-19,BEA,20585.00,2571938.80,124.94,84,2023-09-19 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-18,BEA,9636.00,1206908.00,125.25,85,2023-09-18 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-15,BEA,32902.00,3788144.90,115.13,86,2023-09-15 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-14,BEA,8622.00,1046243.80,121.35,87,2023-09-14 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-13,BEA,6835.00,890552.00,130.29,88,2023-09-13 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-12,BEA,138.00,16974.00,123.00,89,2023-09-12 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-11,BEA,22771.00,2761657.80,121.28,90,2023-09-11 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-09-08,BEA,12352.00,1528761.00,123.77,91,2023-09-08 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-09-07,BEA,5670.00,700663.80,123.57,92,2023-09-07 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-09-06,BEA,5161.00,615110.00,119.18,93,2023-09-06 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-09-05,BEA,5760.00,734376.00,127.50,94,2023-09-05 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-09-04,BEA,2087.00,258788.00,124.00,95,2023-09-04 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-09-01,BEA,12098.00,1488369.00,123.03,96,2023-09-01 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-31,BEA,3200.00,409600.00,128.00,97,2023-08-31 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-29,BEA,9300.00,1190400.00,128.00,98,2023-08-29 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-25,BEA,1400.00,2198478.00,133.50,99,2023-08-25 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-24,BEA,2400.00,294000.00,122.50,100,2023-08-24 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-23,BEA,4552.00,603280.00,132.53,101,2023-08-23 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-18,BEA,480.00,62400.00,130.00,102,2023-08-18 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-16,BEA,6000.00,762000.00,127.00,103,2023-08-16 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-15,BEA,6000.00,762000.00,127.00,104,2023-08-15 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-07,BEA,8315.00,1080950.00,130.00,105,2023-08-07 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-04,BEA,4000.00,480000.00,120.00,106,2023-08-04 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-03,BEA,2207.00,280289.00,127.00,107,2023-08-03 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-08-02,BEA,12292.00,1498184.00,121.88,108,2023-08-02 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
2023-07-31,BEA,3571.00,507082.00,142.00,109,2023-07-31 00:00:00,1,0,2024-07-21 05:07:56,0,2024-07-21 05:07:56,,,
