window,col,group,short,latest,prev,delta,pct,z,corr,down_pressure
1,CCI进口5500,进口CCI目标,CCI进口5500,897.82,913.23,-15.409999999999968,-1.687417189536039,-1.7004849845834806,0.8414431487188935,1.4308614397771229
3,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力煤1#--镇江港--价格(元/吨),国内/其它价格,动力煤_5500大卡以上--动力煤1#--镇江港,815.0,815.0,0.0,0.0,0.0,0.27623779046309754,-0.0
3,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力煤3#--防城港--价格(元/吨),国内/其它价格,动力煤_5500大卡以上--动力煤3#--防城港,780.0,780.0,0.0,0.0,0.0,0.7607668131831425,-0.0
3,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力末煤3#--上海港--价格(元/吨),国内/其它价格,动力煤_5500大卡以上--动力末煤3#--上海港,790.0,790.0,0.0,0.0,0.0,0.7862838558580557,-0.0
3,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力末煤4#--上海港--价格(元/吨),国内/其它价格,动力煤_5500大卡以上--动力末煤4#--上海港,825.0,825.0,0.0,0.0,0.0,0.7809398754370663,-0.0
3,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--榆神煤--徐州市--价格(元/吨),国内/其它价格,动力煤_5500大卡以上--榆神煤--徐州市,890.0,890.0,0.0,0.0,0.0,0.48682004285225616,-0.0
3,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--黄陵煤--徐州市--价格(元/吨),国内/其它价格,动力煤_5500大卡以上--黄陵煤--徐州市,845.0,845.0,0.0,0.0,0.0,0.4889254991022467,-0.0
3,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--优混--广州港--价格(元/吨),国内/其它价格,动力煤_5500大卡以上--优混--广州港,840.0,840.0,0.0,0.0,0.0,0.7943436207478619,-0.0
3,00000232_优混_价格(元/吨),国内/其它价格,00000232_优混,1030.0,1030.0,0.0,0.0,0.0,0.691868683377634,-0.0
3,00000232_动力煤_价格(元/吨),国内/其它价格,00000232_动力煤,825.0,825.0,0.0,0.0,0.0,0.7325747240441988,-0.0
3,00000232_混煤_价格(元/吨),国内/其它价格,00000232_混煤,1000.0,1000.0,0.0,0.0,0.0,0.724170987167532,-0.0
3,00000232_电煤_价格(元/吨),国内/其它价格,00000232_电煤,915.0,915.0,0.0,0.0,0.0,0.7438189329443241,-0.0
3,00000233_动力煤_价格(元/吨),国内/其它价格,00000233_动力煤,755.0,755.0,0.0,0.0,0.0,0.7372386497789813,-0.0
3,00000233_混煤_价格(元/吨),国内/其它价格,00000233_混煤,930.0,930.0,0.0,0.0,0.0,0.7286257210880395,-0.0
3,00000234_动力煤_价格(元/吨),国内/其它价格,00000234_动力煤,830.0,830.0,0.0,0.0,0.0,0.7357098749068723,-0.0
3,00000234_混煤_价格(元/吨),国内/其它价格,00000234_混煤,1010.0,1010.0,0.0,0.0,0.0,0.7259386952092176,-0.0
3,00000235_动力煤_价格(元/吨),国内/其它价格,00000235_动力煤,805.0,805.0,0.0,0.0,0.0,0.7324114627143058,-0.0
3,00000235_混煤_价格(元/吨),国内/其它价格,00000235_混煤,980.0,980.0,0.0,0.0,0.0,0.726965433313862,-0.0
3,00000236_混煤_价格(元/吨),国内/其它价格,00000236_混煤,940.0,940.0,0.0,0.0,0.0,0.7253779821597793,-0.0
3,00000238_动力煤2#_价格(元/吨),国内/其它价格,00000238_动力煤2#,745.0,745.0,0.0,0.0,0.0,0.7441077651294181,-0.0
3,00000238_混煤_价格(元/吨),国内/其它价格,00000238_混煤,920.0,920.0,0.0,0.0,0.0,0.7166285852888519,-0.0
3,00000257_动力末煤1#_价格(元/吨),国内/其它价格,00000257_动力末煤1#,620.0,620.0,0.0,0.0,0.0,0.7868838190480092,-0.0
3,00000257_动力末煤2#_价格(元/吨),国内/其它价格,00000257_动力末煤2#,705.0,705.0,0.0,0.0,0.0,0.7834904400769943,-0.0
3,00000258_动力煤1#_价格(元/吨),国内/其它价格,00000258_动力煤1#,755.0,755.0,0.0,0.0,0.0,0.8138266452370166,-0.0
3,00000258_动力煤2#_价格(元/吨),国内/其它价格,00000258_动力煤2#,845.0,845.0,0.0,0.0,0.0,0.8198855969665477,-0.0
3,00000258_动力煤3#_价格(元/吨),国内/其它价格,00000258_动力煤3#,930.0,930.0,0.0,0.0,0.0,0.7950494731553314,-0.0
3,00000259_动力煤1#_价格(元/吨),国内/其它价格,00000259_动力煤1#,585.0,585.0,0.0,0.0,0.0,0.888178785194671,-0.0
3,00000259_动力煤2#_价格(元/吨),国内/其它价格,00000259_动力煤2#,690.0,690.0,0.0,0.0,0.0,0.868183331681479,-0.0
3,输入00000311--煤炭价格_分煤种价格_动力煤_4800～5500大卡--大混1#--广州港--价格(元/吨),国内/其它价格,动力煤_4800～5500大卡--大混1#--广州港,770.0,770.0,0.0,0.0,0.0,0.7950029500596096,-0.0
3,输入00000311--煤炭价格_分煤种价格_动力煤_4800～5500大卡--动力煤--防城港--价格(元/吨),国内/其它价格,动力煤_4800～5500大卡--动力煤--防城港,765.0,765.0,0.0,0.0,0.0,0.6814694331406597,-0.0
3,输入00000311--煤炭价格_分煤种价格_动力煤_4800～5500大卡--印尼煤1#--广州港--价格(元/吨),国际/进口相关,动力煤_4800～5500大卡--印尼煤1#--广州港,710.0,710.0,0.0,0.0,0.0,0.8288191712598819,-0.0
3,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--大混2#--广州港--价格(元/吨),国内/其它价格,动力煤_4800大卡以下--大混2#--广州港,690.0,690.0,0.0,0.0,0.0,0.7948191469632189,-0.0
3,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--印尼煤2#--广州港--价格(元/吨),国际/进口相关,动力煤_4800大卡以下--印尼煤2#--广州港,675.0,675.0,0.0,0.0,0.0,0.8552731245953936,-0.0
3,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--印尼煤3#--广州港--价格(元/吨),国际/进口相关,动力煤_4800大卡以下--印尼煤3#--广州港,580.0,580.0,0.0,0.0,0.0,0.8584218538743272,-0.0
3,输入00000299--煤炭价格_国际煤价_到岸价格_印尼--气煤-天津港--价格(元/吨),国际/进口相关,00000299--煤炭价格_国际煤价_到岸价格_印尼--气煤-天津港,1220.0,1220.0,0.0,0.0,0.0,0.027503674360005413,-0.0
3,输入00000301--煤炭价格_国际煤价_到岸价格_南非--动力煤-防城港--价格(元/吨),国际/进口相关,00000301--煤炭价格_国际煤价_到岸价格_南非--动力煤-防城港,870.0,870.0,0.0,0.0,0.0,0.7422402747203688,-0.0
3,输入00000307--煤炭价格_国际煤价_国际港口_卡里曼丹--动力煤1#--本期价格(美元/吨),国际/进口相关,00000307--煤炭价格_国际煤价_国际港口_卡里曼丹--动力煤1#,60.0,60.0,0.0,0.0,0.0,0.7496083129649252,-0.0
