source,table,file,rows,latest,earliest,columns
60plus,输入00000253-A-煤炭行业_煤炭进口(月)_煤炭进口快报数,输入00000253-CCTD-煤炭行业_煤炭进口(月)_煤炭进口快报数.csv,26,2026-02-01,2025-02-01,"时间,项目名称,当期值,累计值,累计增长(%)"
500plus,输入00000896-A-煤炭行业_煤炭库存_煤炭库存(月)_煤炭企业库存,输入00000896--煤炭行业_煤炭库存_煤炭库存(月)_煤炭企业库存.csv,13,2026-02-01,2025-02-01,"时间,月末库存(万吨),同比变化(万吨)"
500plus,输入00000898-A-煤炭行业_煤炭消费_煤炭消费(月)_商品煤消费量,输入00000898--煤炭行业_煤炭消费_煤炭消费(月)_商品煤消费量.csv,13,2026-02-01,2025-02-01,"时间,当月值(亿吨),同比增长(%),累计值(亿吨),累计增长(%)"
500plus,输入00000441-A-煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_其他烟煤,输入00000441--煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_其他烟煤.csv,239,2025-12-01,2025-02-01,"时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000443-A-煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_其他煤,输入00000443--煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_其他煤.csv,72,2025-11-01,2025-06-01,"时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000405-A-煤炭行业_煤炭库存_煤炭库存(月)_全国煤炭企业库存,输入00000405--煤炭行业_煤炭库存_煤炭库存(月)_全国煤炭企业库存.csv,7,2025-08-01,2025-02-01,"时间,月末库存(万吨),同比变化(万吨)"
500plus,输入00000430-A-煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_型煤,输入00000430--煤炭行业_煤炭进口_煤炭进口(月)_分国别(地区)进口量_型煤.csv,1,2025-08-01,2025-08-01,"时间,国别(地区),当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000444-A-煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_型煤,输入00000444--煤炭行业_煤炭进口_煤炭进口(月)_分省份进口量_型煤.csv,1,2025-08-01,2025-08-01,"时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000404-A-煤炭行业_煤炭库存_煤炭库存(旬)_重点煤矿库存,输入00000404--煤炭行业_煤炭库存_煤炭库存(旬)_重点煤矿库存.csv,130,2025-07-10,2025-01-10,"时间,地区,旬度值(万吨),旬度环比(万吨),旬度同比(万吨)"
500plus,输入00000408-A-煤炭行业_煤炭消费_煤炭消费(月)_全国商品煤消费量,输入00000408--煤炭行业_煤炭消费_煤炭消费(月)_全国商品煤消费量.csv,6,2025-07-01,2025-02-01,"时间,当月值(亿吨),同比增长(%),累计值(亿吨),累计增长(%)"
500plus,输入00000370-A-港口煤炭数据_港口库存及调度_港口库存(周)_主流港口煤炭库存,输入00000370--港口煤炭数据_港口库存及调度_港口库存(周)_主流港口煤炭库存.csv,0,,,"时间,港口合计(万吨),沿海港口(万吨),内河港口(万吨),北方港口(万吨),南方港口(万吨),华东港口(万吨),华南港口(万吨)"
500plus,输入00000373-A-港口煤炭数据_港口库存及调度_港口库存(月)_港口库存快报数(月),输入00000373--港口煤炭数据_港口库存及调度_港口库存(月)_港口库存快报数(月).csv,0,,,"时间,港口,月末库存(万吨)"
500plus,输入00000374-A-港口煤炭数据_港口库存及调度_港口库存(月)_港口库存明细数(月),输入00000374--港口煤炭数据_港口库存及调度_港口库存(月)_港口库存明细数(月).csv,0,,,"时间,港口,月末库存(万吨)"
