window,from_date,to_date,category,feature,name,prev,latest,delta,pct,z,corr_import_mean,down_pressure
1,2026-06-24,2026-06-25,国内其它煤价,输入00000269-CCTD-煤炭价格_榆林市_神木县_混煤_价格(元/吨),输入00000269-CCTD-煤炭价格_榆林市_神木县_混煤,555.0,555.0,0.0,0.0,0.0,0.197229095425956,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,输入00000270-CCTD-煤炭价格_朔州_朔州市_动力混煤_价格(元/吨),输入00000270-CCTD-煤炭价格_朔州_朔州市_动力混煤,545.0,545.0,0.0,0.0,0.0,0.5428005714839496,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,输入00000270-CCTD-煤炭价格_朔州_朔州市_动力煤_价格(元/吨),输入00000270-CCTD-煤炭价格_朔州_朔州市_动力煤,500.0,500.0,0.0,0.0,0.0,0.543136768603507,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,输入00000270-CCTD-煤炭价格_朔州_朔州市_块煤_价格(元/吨),输入00000270-CCTD-煤炭价格_朔州_朔州市_块煤,655.0,655.0,0.0,0.0,0.0,0.3715768377106824,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,输入00000270-CCTD-煤炭价格_朔州_朔州市_气煤_价格(元/吨),输入00000270-CCTD-煤炭价格_朔州_朔州市_气煤,465.0,465.0,0.0,0.0,0.0,0.5328426134794582,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,输入00000271-CCTD-煤炭价格_朔州_右玉县_动力煤_价格(元/吨),输入00000271-CCTD-煤炭价格_朔州_右玉县_动力煤,570.0,570.0,0.0,0.0,0.0,0.5518019801988692,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,输入00000271-CCTD-煤炭价格_朔州_右玉县_气煤_价格(元/吨),输入00000271-CCTD-煤炭价格_朔州_右玉县_气煤,540.0,540.0,0.0,0.0,0.0,0.5496077911966726,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000273-CCTD-煤炭价格_到岸价格_印尼_气煤_价格(元/吨),到岸价格_印尼_气煤,1220.0,1220.0,0.0,0.0,0.0,-0.0022358003523208175,0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_喷吹煤_价格(元/吨),到岸价格_俄罗斯_喷吹煤,1080.0,1080.0,0.0,0.0,0.0,0.06506222479205803,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_气肥煤_价格(元/吨),到岸价格_俄罗斯_气肥煤,1100.0,1100.0,0.0,0.0,0.0,0.05504656479117761,-0.0
